2022-03-03 06:32:58.068766|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 06:32:58.068846|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 06:33:00.073289|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 06:33:00.073384|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 06:42:56.215730|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 06:42:56.215984|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 06:42:58.020111|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 06:42:58.020183|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 06:43:00.024521|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 06:43:00.024592|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 06:52:56.269131|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 06:52:56.269345|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 06:52:58.073330|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 06:52:58.073426|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 06:53:00.080632|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 06:53:00.080731|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 07:02:56.310671|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 07:02:56.310904|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 07:02:58.062978|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 07:02:58.063041|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 07:03:00.068516|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 07:03:00.068612|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 07:12:56.338160|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 07:12:56.338405|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 07:12:58.042456|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 07:12:58.042526|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 07:13:00.048758|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 07:13:00.048880|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 07:22:56.479100|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 07:22:56.479338|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 07:22:58.083570|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 07:22:58.083641|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 07:23:00.087956|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 07:23:00.088028|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 07:32:56.527288|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 07:32:56.527539|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 07:32:58.031266|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 07:32:58.031336|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 07:33:00.037212|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 07:33:00.037282|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 07:42:56.580554|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 07:42:56.580922|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 07:42:58.116325|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 07:42:58.116420|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 07:43:00.020585|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 07:43:00.020662|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 07:52:56.654861|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 07:52:56.655094|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 07:52:58.058811|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 07:52:58.058889|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 07:53:00.063242|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 07:53:00.063315|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 08:02:56.645648|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 08:02:56.645896|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 08:02:58.049448|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 08:02:58.049517|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 08:03:00.054206|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 08:03:00.054313|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 08:12:56.669720|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 08:12:56.669956|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 08:12:58.073781|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 08:12:58.073855|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 08:13:00.078166|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 08:13:00.078248|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 08:22:56.759158|ERROR   |              |   |TS3ANetwork::Send failed error: 1
